,0,1,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,0.6472594,0.6576311,0.6810782,0.7193719,0.6692601,0.67892927,0.6528011,0.65408164,0.6613752,0.64159155,0.64791125,0.64798075,0.6508484,0.6647664,0.60010195,0.58444434,0.54204184,0.54038453,0.5359277,0.5228163,0.5170124,0.5116563,0.5399553,0.52779895,0.52210295,0.506725,0.51912403,0.50290745,0.52713025,0.62187314,0.6253371,0.6257646,0.6164246,0.62841165,0.5829163
1,0.6472594,0,0.2668856,0.68565845,0.7123631,0.68672764,0.6562694,0.6614086,0.6587344,0.6814603,0.6834047,0.6608083,0.67638254,0.74632955,0.73239094,0.6818122,0.6584439,0.6714515,0.6584533,0.693131,0.65545684,0.6522229,0.66649365,0.64732087,0.64493096,0.64557034,0.66512483,0.65052325,0.6567426,0.6822411,0.6753073,0.67248416,0.6721678,0.6675386,0.68440694,0.6693456
2,0.6576311,0.2668856,0,0.653361,0.71944344,0.6973464,0.6547902,0.6740053,0.6796144,0.6893626,0.702456,0.67637676,0.69144446,0.75128,0.72992295,0.69161016,0.6756664,0.6733353,0.6653219,0.69370586,0.6638028,0.66010416,0.6800098,0.6572349,0.64914393,0.64933735,0.6842674,0.65404695,0.657058,0.6782695,0.673651,0.67511404,0.65916526,0.6729097,0.66664624,0.67298764
3,0.6810782,0.68565845,0.653361,0,0.6324486,0.71362627,0.688215,0.7241328,0.723806,0.7386177,0.71025544,0.712478,0.718425,0.69165874,0.68490034,0.6162172,0.60434455,0.6245061,0.6445561,0.66993153,0.65951836,0.63392013,0.6823734,0.63767314,0.70116746,0.63648003,0.6836226,0.6543229,0.66978073,0.65246236,0.6481423,0.633524,0.66986746,0.6849296,0.68478805,0.653237
4,0.7193719,0.7123631,0.71944344,0.6324486,0,0.6351564,0.6386485,0.6383525,0.6319817,0.6294041,0.65085155,0.6202308,0.66967654,0.63691205,0.63201934,0.68076706,0.68285,0.71264607,0.7083007,0.69870377,0.7007681,0.7159038,0.73484,0.7134897,0.7233806,0.6943719,0.72210866,0.7293003,0.7121585,0.71601635,0.7507158,0.7520148,0.74254924,0.74681145,0.75542796,0.7043573
7,0.6692601,0.68672764,0.6973464,0.71362627,0.6351564,0,0.35447976,0.3767293,0.4145518,0.382006,0.40439177,0.37943548,0.40961406,0.5954903,0.57566285,0.7790857,0.7733134,0.7507081,0.7372429,0.7446115,0.711595,0.70654315,0.71933657,0.73812634,0.6950095,0.7227759,0.70648766,0.72357285,0.72517395,0.7235049,0.69820994,0.706207,0.7087846,0.69029826,0.6810114,0.6977025
8,0.67892927,0.6562694,0.6547902,0.688215,0.6386485,0.35447976,0,0.38530898,0.3589668,0.36448678,0.40148565,0.3938284,0.4489369,0.5760295,0.56189,0.76888365,0.7538245,0.7319403,0.72366667,0.74227357,0.7038923,0.69230205,0.72982633,0.7255858,0.69549274,0.6911617,0.71454316,0.70976365,0.71849525,0.7180914,0.7172449,0.7175012,0.6965758,0.68537253,0.68168867,0.6910924
9,0.6528011,0.6614086,0.6740053,0.7241328,0.6383525,0.3767293,0.38530898,0,0.39512244,0.37257388,0.360761,0.34077308,0.37452427,0.6072815,0.59534013,0.7628955,0.76237285,0.7364601,0.7270927,0.7314006,0.69740134,0.6871483,0.7235327,0.71981436,0.67818564,0.6939163,0.7074093,0.69271934,0.7004336,0.7068097,0.69137865,0.6919356,0.6891726,0.6713511,0.67153984,0.6909473
10,0.65408164,0.6587344,0.6796144,0.723806,0.6319817,0.4145518,0.3589668,0.39512244,0,0.36427507,0.39168206,0.39612985,0.4454642,0.58716893,0.5750506,0.74676824,0.73799235,0.71329117,0.71227056,0.7157598,0.67317677,0.6675318,0.70612043,0.69740313,0.6677649,0.6647739,0.68016416,0.67185897,0.6818152,0.6865299,0.68737555,0.6942358,0.6843009,0.6634545,0.6730471,0.67235976
