"tree.names","ml.names","D0","D1","D2","anc0","anc1","anc2","PC1","PC2","PC3","PC4","PC5","PC6","PACA1","PACA2","PACA3","PACA4","PACA5","PACA6"
"Esox_americanus_americanus","Esox americanus",700.178952163036,485.464664962441,113.096683316674,1,1,1,0.161101993843318,0.395923537971499,-0.716730565736078,0.156070983654959,-0.145548279895976,-0.034956558034299,0.0736537897171451,-0.767010244628171,-0.574129786598655,-0.351813574877005,-0.0600671215255106,0.0153032879715779
"Gambusia_affinis","Gambusia affinis",628.719440809424,877.462754079755,277.248735350289,1,1,2,0.179815960955363,-0.706264388310656,0.396371932085665,0.157403909186658,0.256381028706232,0.0523997371943873,0.24900420640655,0.315899251969243,0.347249354809372,0.399912203447144,-0.0828320574073947,-0.0578781263743737
"Lepomis_auritus","Lepomis auritus",1193.15281630104,609.956358221397,137.083960073651,1,1,2,-0.815302305513334,0.344130697794881,0.693152392519587,-0.329977931716041,-0.200267340654878,0.183561942607621,-1.25644108472268,0.226328766424303,0.0338361576989567,-0.0891033650386358,0.0956339617110664,-0.0944647946028319
"Lepomis_cyanellus","Lepomis cyanellus",889.251415021706,628.586918719644,161.71949362303,1,1,2,-1.16889158630978,0.349256225776861,0.618380866973912,-0.171197518837162,-0.145533927967305,0.0806163700658277,-1.44983974484868,0.138141480511641,0.0833044778261495,-0.0867337162736822,-0.236744654374178,0.0120193589161543
"Lepomis_gibbosus","Lepomis gibbosus",924.659289813762,497.710444999176,149.477641500699,1,1,2,-0.372011841164818,0.141072307872472,0.805370292698541,-0.286642393683887,-0.202268581670213,0.0525507986057746,-0.858108568774904,0.321009878214924,0.150249285040427,0.0179324652045573,0.338510992690045,0.0387517687590821
"Lepomis_gulosus","Lepomis gulosus",698.455084947959,624.513036100774,115.723031739509,1,1,2,-0.898752868162265,0.366304609932342,0.369582274537952,-0.476714007644386,-0.0817865946547867,0.0614114086154811,-1.22781735134515,0.15556914668909,-0.310411961454179,-0.0378670799623376,-0.0877625003308063,-0.0491791731894337
"Lepomis_humilis","Lepomis humilis",939.420371555764,786.618668625357,278.738881269134,1,1,2,-0.704781269985709,0.126092092199803,0.760660724981312,-0.305670416552765,-0.18069430501707,0.0683744627623338,-1.07756834607572,0.365638639175257,0.117872681632241,-0.00414200472369797,0.0896133746848278,0.0188299866532477
"Lepomis_macrochirus","Lepomis macrochirus",1105.61447114184,1012.45948040794,320.514536948982,1,1,2,-1.07200735926423,-0.262315827119763,0.743477590792428,-0.218811307855698,-0.260249795436352,0.00357106878707166,-1.11107633112524,0.64067576397732,0.255425646244518,-0.0801060165218946,-0.350150993050592,0.11491213824458
"Lepomis_megalotis","Lepomis megalotis",1361.80488862324,568.823035294174,106.135314136653,1,1,2,-0.832424754099675,0.290384435688414,0.803511606742805,-0.354005613170482,-0.255759240668688,0.150708404837116,-1.28762619696448,0.332418809065817,0.0971591988699533,-0.097987220909657,0.129346954237364,-0.0430437307217642
"Lepomis_microlophus","Lepomis microlophus",881.605011024703,211.531200326598,105.983345071088,1,1,3,-0.551699798824432,0.159736713637163,0.751434646067068,-0.373893994935306,-0.118856961165625,0.0643197434559382,-0.993952726988634,0.343711173451,0.0471264789108742,0.0694749635790555,0.211111344634139,-0.00324141918053311
"Morone_chrysops","Morone chrysops",359.975537124626,182.541378023648,102.153107827163,1,1,3,-0.315943650264019,0.179494190659421,0.326790945433246,-0.36715897887456,0.133718215108381,0.00300337535213337,-0.662471068869741,0.0773013563669611,-0.256087067339934,0.217084746905841,0.123238100471302,-0.0431134515774673
"Morone_mississippiensis","Morone mississippiensis",267.694478830983,416.230439146607,84.6175251998045,1,2,4,-0.874980802168411,0.162747446814778,0.239454873631105,-0.0134811532675153,-0.0144249138501123,-0.0581059968079383,-0.952876366825444,-0.0386932504003176,-0.0414457067505421,-0.0173123251216812,-0.38004593997047,0.0950951376352381
"Alosa_chrysochloris","Alosa chrysochloris",415.162492801797,731.988223467652,354.776033038403,2,3,5,0.21163209767424,-0.130197971632373,-0.283913061154667,-0.477466555532178,-0.0320350437310091,-0.0635684058441806,0.0974342843442886,0.0843543575424169,-0.659107387324539,-0.00827001941630542,0.112378576555099,-0.0220296605875916
"Carassius_carassius","Carassius auratus",724.154905403501,142.098285023092,30.911440693426,2,3,5,-0.0476302648654926,-0.317442072099045,0.600961194598642,-0.480236634063211,-0.0306270840652454,-0.0490420323348673,-0.333337814899074,0.583493684460412,-0.0561934448076112,0.226863920761001,0.276523287209612,0.0490976786983938
"Cyprinus_carpio","Cyprinus carpio",161.532869131884,655.952240073523,377.069314278457,2,3,5,-0.0273621319735329,-0.144187311253878,0.356425861798003,-0.0910292817955875,0.0556513721265989,0.0121004770920415,-0.237857662595286,0.130334868692811,0.0351583862533291,0.173847277001647,0.120128979383361,-0.00387219018390824
"Notropis_atherinoides","Notropis atherinoides",711.700593733509,190.464318738923,211.187948545718,2,3,5,0.728516647149381,-1.05336265301681,-0.379009587567024,0.0587206229031654,-0.00853199958914931,0.0380986012340067,1.10702299188916,0.299335484866082,-0.125928227540961,0.0302691449610084,-0.156557487531858,-0.0790660157970754
"Notropis_blennius","Notropis blennius",262.394841748863,666.506134267852,90.2302323929763,2,3,5,0.510786293629428,-0.673341742175846,0.0285635655386859,0.136976469930212,-0.0304143828803526,0.0150523350772189,0.605420881332215,0.183600099170644,0.106490001607263,0.0693559844637513,0.0393139405816795,-0.000572488052163471
