,0,1,2,3,4,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0,0,0,0.3464654,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5119008,0.5119008,0.86486447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2269372,0.2269372,0.98206586,0.98206586,0.98206586,0.98206586,0.98206586,0.5597959
1,0,0,0,0.3464654,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5119008,0.5119008,0.86486447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2269372,0.2269372,0.98206586,0.98206586,0.98206586,0.98206586,0.98206586,0.5597959
2,0,0,0,0.3464654,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5119008,0.5119008,0.86486447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2269372,0.2269372,0.98206586,0.98206586,0.98206586,0.98206586,0.98206586,0.5597959
3,0.3464654,0.3464654,0.3464654,0,0.5214778,0.5214778,0.5214778,0.5214778,0.5214778,0.5214778,0.5214778,0.5214778,0.47028783,0.47028783,1.0065386,0.3464654,0.3464654,0.3464654,0.3464654,0.3464654,0.3464654,0.3464654,0.3464654,0.3464654,0.3464654,0.3464654,0.3464654,0.3464654,0.37125143,0.37125143,0.9193217,0.9193217,0.9193217,0.9193217,0.9193217,0.80229753
4,0.5836914,0.5836914,0.5836914,0.5214778,0,0,0,0,0,0,0,0,0.19631141,0.19631141,0.8343998,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.45680463,0.45680463,0.7549232,0.7549232,0.7549232,0.7549232,0.7549232,0.7245755
7,0.5836914,0.5836914,0.5836914,0.5214778,0,0,0,0,0,0,0,0,0.19631141,0.19631141,0.8343998,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.45680463,0.45680463,0.7549232,0.7549232,0.7549232,0.7549232,0.7549232,0.7245755
8,0.5836914,0.5836914,0.5836914,0.5214778,0,0,0,0,0,0,0,0,0.19631141,0.19631141,0.8343998,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.45680463,0.45680463,0.7549232,0.7549232,0.7549232,0.7549232,0.7549232,0.7245755
9,0.5836914,0.5836914,0.5836914,0.5214778,0,0,0,0,0,0,0,0,0.19631141,0.19631141,0.8343998,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.45680463,0.45680463,0.7549232,0.7549232,0.7549232,0.7549232,0.7549232,0.7245755
10,0.5836914,0.5836914,0.5836914,0.5214778,0,0,0,0,0,0,0,0,0.19631141,0.19631141,0.8343998,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.5836914,0.45680463,0.45680463,0.7549232,0.7549232,0.7549232,0.7549232,0.7549232,0.7245755
