,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,0.0,0.94101036,0.79378605,0.93902177,1.1381325,2.5759902,2.5759902,1.5314592,1.7542316,1.2960104,1.3873073,1.4372386,1.6864784,1.600202,1.3316543,0.88953835,1.3251721,1.1945004,0.9305182,1.0437818,1.1087911,0.85778874,1.0507146,0.89479154,1.0037853,1.1213282,1.0457908,1.1076272,0.9579804,1.0363077,1.0218382,1.2314405,1.5283718,1.4586114,1.4274184,1.5495006,1.4978591,1.1297703
1,0.94101036,0.0,0.50288194,1.6453158,0.8625665,2.5759902,2.5759902,1.0681565,1.3518643,0.65916806,1.1226242,0.84903127,1.093863,1.0643783,0.7323743,0.660766,1.12427,1.5501233,1.0729365,1.5031395,1.2876699,1.1686138,1.403475,1.0780737,1.3091788,1.390893,1.5121056,1.2703869,1.4211265,1.285489,1.3781356,1.4636334,1.7320108,1.5952348,1.5060405,1.8364588,1.7539725,1.2806984
2,0.79378605,0.50288194,0.0,1.2580371,0.6812375,2.5759902,2.5759902,1.0605087,1.2910435,0.71283305,1.0909493,0.8946789,1.1710002,1.1055357,0.7978247,0.5209146,0.9177156,1.4021549,0.8581984,1.3426113,1.0430539,0.88171273,1.097306,0.8203747,1.0481694,1.2825483,1.2857533,1.0579886,1.2009624,1.090488,1.1662036,1.2924111,1.2998135,1.1340861,1.1005937,1.38515,1.2843467,1.0805048
3,0.93902177,1.6453158,1.2580371,0.0,1.6196746,2.5759902,2.5759902,1.7974442,1.9167799,1.6949396,1.6486402,1.7973218,2.059423,1.901622,1.7351688,1.3101724,1.4452012,1.6031322,1.3554306,1.424401,1.3880948,1.1728086,1.1446682,1.2411684,1.2902462,1.6036654,1.3165855,1.447239,1.2326167,1.4228159,1.3281268,1.6009467,1.2002546,1.0971681,1.0947667,0.92128366,0.9290639,1.4739016
4,1.1381325,0.8625665,0.6812375,1.6196746,0.0,2.5759902,2.5759902,1.6263275,1.8035339,1.2638471,1.6825507,1.4190714,1.5150788,1.6483916,1.3543876,1.1523193,1.4167391,1.0501847,0.5744319,1.1157383,0.7234206,0.68035686,1.0628031,0.6870235,0.7634246,0.9487602,1.0466737,0.72871065,1.0793293,0.7718607,0.9855877,0.896987,1.4271824,1.4827477,1.5754955,1.7933612,1.6557821,0.8160267
5,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902
6,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902,2.5759902
7,1.5314592,1.0681565,1.0605087,1.7974442,1.6263275,2.5759902,2.5759902,0.0,0.41163963,0.51901627,0.40329048,0.28027704,0.6961035,0.141764,0.36008224,0.74579835,0.65985894,2.3864,1.8736945,2.3045225,1.9950955,1.875881,2.0552711,1.8427856,2.010613,2.2721639,2.2659197,1.9489983,2.1880248,2.0202622,2.1701546,2.2872553,2.0105164,1.3889489,1.1191834,1.6547228,1.59686,2.0916069
8,1.7542316,1.3518643,1.2910435,1.9167799,1.8035339,2.5759902,2.5759902,0.41163963,0.0,0.8547847,0.48263773,0.5521895,0.6483972,0.4488101,0.6903693,0.9817181,0.5710183,2.5759902,2.0802479,2.506843,2.1572785,2.0491118,2.2924628,2.0658982,2.1636295,2.478276,2.4473245,2.085683,2.4138637,2.1645052,2.401996,2.4835787,2.1757035,1.3854488,1.0893651,1.735269,1.6317228,2.3325489
9,1.2960104,0.65916806,0.71283305,1.6949396,1.2638471,2.5759902,2.5759902,0.51901627,0.8547847,0.0,0.7542006,0.33769327,0.81664455,0.5013099,0.2241741,0.596224,0.8341793,2.0488074,1.5021399,1.9732815,1.6626289,1.5561484,1.6879442,1.4528557,1.7065948,1.9036278,1.9448849,1.6609992,1.8266283,1.7229985,1.7897,1.9250681,1.7323964,1.4002372,1.1999853,1.6098342,1.5586556,1.6819812
10,1.3873073,1.1226242,1.0909493,1.6486402,1.6825507,2.5759902,2.5759902,0.40329048,0.48263773,0.7542006,0.0,0.53605646,0.81650895,0.5017527,0.5664645,0.662006,0.5406852,2.3487127,1.888217,2.2575119,2.0055006,1.8489797,2.0760128,1.8648212,1.9800013,2.2531674,2.2178173,1.9361004,2.1647506,1.9813324,2.1713111,2.2922719,2.0629494,1.3369879,1.065306,1.6371585,1.5527198,2.1380763
11,1.4372386,0.84903127,0.8946789,1.7973218,1.4190714,2.5759902,2.5759902,0.28027704,0.5521895,0.33769327,0.53605646,0.0,0.55143815,0.2446854,0.18205981,0.67022306,0.656494,2.2153199,1.695296,2.1488776,1.8206942,1.7183996,1.9318271,1.6769129,1.848932,2.087531,2.1144829,1.7751462,2.0437143,1.8455703,2.0152678,2.108486,1.945872,1.415487,1.1759819,1.7087648,1.6281945,1.921256
12,1.6864784,1.093863,1.1710002,2.059423,1.5150788,2.5759902,2.5759902,0.6961035,0.6483972,0.81664455,0.81650895,0.55143815,0.0,0.6375175,0.70473015,1.0572011,0.76153237,2.295473,1.8343449,2.2630918,1.8885713,1.844465,2.201824,1.8807641,1.9226178,2.1807888,2.2295837,1.7814887,2.2429285,1.8711085,2.2112947,2.1990986,2.2723517,1.6559751,1.4140283,2.0439997,1.9159136,2.1184485
13,1.600202,1.0643783,1.1055357,1.901622,1.6483916,2.5759902,2.5759902,0.141764,0.4488101,0.5013099,0.5017527,0.2446854,0.6375175,0.0,0.35381934,0.82461774,0.7443553,2.4258392,1.9088674,2.3485136,2.030166,1.9255261,2.110112,1.8822863,2.057015,2.3020833,2.3159862,1.9841975,2.2365623,2.0585825,2.213088,2.3206117,2.0818465,1.4996498,1.2275418,1.7611524,1.7034916,2.124743
