0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.70028824,0.9989354,0.9691815,0.8975367,0.8618806,0.9180029,0.9283647,1.0028783,0.99482644,0.998299,1.0079174,0.96515346,0.9826489,0.99445814,0.9909719,0.9674271,0.9793178,0.8908293,0.910555,0.91241735,0.895386,0.93285465,0.91559535,0.8933166,0.9091499,0.92800593,0.88868415,0.91320497,0.9080557,0.9203675,0.90336394,0.893284,0.9391304,0.9396238,0.95935905,0.93623763,0.9524286,0.9176154
0.9989354,0.78269166,0.8495598,0.9725564,0.9242276,0.9906726,0.9825611,0.8484799,0.8717042,0.8859359,0.8852153,0.88612735,0.88064283,0.8866191,0.8829321,0.95580626,0.95194036,0.9467128,0.9311295,0.93245906,0.9589288,0.9356388,0.96246046,0.9730496,0.95404047,0.96223223,0.98600376,0.96006864,0.9892212,0.95442563,0.9675312,0.9634474,0.9908391,0.9765007,0.9518363,0.96092695,0.9581672,0.9650566
0.9691815,0.8495598,0.7876849,0.9405693,0.8744682,0.9789391,0.96531534,0.8590411,0.8715713,0.91810256,0.9042427,0.8903336,0.88501275,0.91997814,0.8886319,0.9537932,0.94909763,0.9276616,0.9004161,0.91163707,0.9273816,0.9141436,0.9388511,0.95463806,0.94217485,0.94458044,0.966961,0.9298017,0.9711826,0.9354438,0.944572,0.9305452,0.98441434,0.9681672,0.93645096,0.9312012,0.93793076,0.94579875
0.8975367,0.9725564,0.9405693,0.72524107,0.852674,0.91454077,0.93446267,0.9666325,0.97413564,0.98134476,0.96161556,0.97527695,0.9692657,0.9872663,0.9763027,1.0263629,1.0373057,0.87160033,0.918164,0.9312704,0.9163301,0.90616506,0.9297902,0.9640318,0.92171186,0.9543871,0.9081726,0.942655,0.93173313,0.9366705,0.90722996,0.9263265,0.9519407,0.9355861,0.96601105,0.94227743,0.95712703,0.9325224
0.8618806,0.9242276,0.8744682,0.852674,0.5993191,0.90446615,0.91563123,0.92745054,0.94621485,0.97855586,0.9765107,0.92601806,0.92223424,0.96686786,0.94089824,1.0257915,1.0398041,0.8193321,0.8178569,0.82024914,0.8238501,0.81656003,0.86465085,0.90001297,0.89372396,0.89663464,0.8732445,0.8644571,0.8822364,0.8886497,0.8597726,0.83343035,0.98428935,0.9556033,0.9183727,0.9117647,0.9110559,0.9148948
0.9180029,0.9906726,0.9789391,0.91454077,0.90446615,0.81031907,0.90970427,0.9979879,1.0030198,1.0085455,1.009542,0.99500746,0.99234927,1.0045989,0.9926911,1.0420425,1.0416836,0.9238115,0.9539432,0.9485494,0.95049244,0.94471157,0.96557105,0.98239803,0.9520729,0.97416896,0.94632375,0.9660383,0.9490674,0.9626582,0.94129,0.9395334,0.9955761,0.98910236,1.0015405,0.969776,0.99827844,0.9778297
0.9283647,0.9825611,0.96531534,0.93446267,0.91563123,0.90970427,0.8421057,0.98278445,1.0022303,1.0100644,1.0139155,0.9839595,0.9796766,1.010891,0.9880344,1.0212748,1.0259926,0.9446885,0.9570293,0.9513333,0.9485552,0.9344828,0.9565183,0.9709962,0.9652297,0.97784585,0.9497945,0.95559865,0.9567607,0.95463616,0.9345274,0.92379075,0.98102486,0.99029976,0.98114973,0.96067715,0.9856052,0.9725096
1.0028783,0.8484799,0.8590411,0.9666325,0.92745054,0.9979879,0.98278445,0.7332599,0.79713094,0.7876158,0.81236136,0.8217641,0.7990714,0.8096758,0.78652424,0.9119394,0.9063069,0.9366402,0.92339057,0.93420875,0.9461514,0.930776,0.95948225,0.963755,0.9467175,0.96237236,0.982793,0.95243716,0.9879684,0.9457972,0.9518912,0.9535115,0.9778714,0.96685106,0.9457647,0.94892746,0.9442504,0.95772505
0.99482644,0.8717042,0.8715713,0.97413564,0.94621485,1.0030198,1.0022303,0.79713094,0.77074003,0.81037056,0.81771404,0.8181946,0.8225507,0.8309052,0.823622,0.9142148,0.9066877,0.9445808,0.92502373,0.93753475,0.9485782,0.9358273,0.95130855,0.9636205,0.9389891,0.9537106,0.9791052,0.9524137,0.9770256,0.9542885,0.9561104,0.9588928,0.9663758,0.9592001,0.93764585,0.9354003,0.93656015,0.9441373
0.998299,0.8859359,0.91810256,0.98134476,0.97855586,1.0085455,1.0100644,0.7876158,0.81037056,0.7312977,0.7881356,0.82014054,0.81701314,0.7805635,0.7929294,0.9304372,0.92013615,0.95021236,0.9418669,0.95253897,0.95751506,0.9577915,0.96124035,0.9639395,0.9326733,0.95215553,0.97595114,0.962398,0.973624,0.9551952,0.9535216,0.96615833,0.9663777,0.95797557,0.95595175,0.9558833,0.95161664,0.9502613
