,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
10,9.807265996932983398e-01,9.253557324409484863e-01,9.372054934501647949e-01,9.682137966156005859e-01,9.653496742248535156e-01,1.030155301094055176e+00,1.041142106056213379e+00,7.154079079627990723e-01,6.939732432365417480e-01,6.617630720138549805e-01,4.928052127361297607e-01,7.286665439605712891e-01,7.290675640106201172e-01,7.074567675590515137e-01,6.884239315986633301e-01,1.054295778274536133e+00,1.031927704811096191e+00,9.896533489227294922e-01,9.680876731872558594e-01,9.735938310623168945e-01,9.679551124572753906e-01,9.260625839233398438e-01,9.952940940856933594e-01,9.854314327239990234e-01,9.881721735000610352e-01,1.009492754936218262e+00,1.034861445426940918e+00,1.014811277389526367e+00,1.039496064186096191e+00,1.017627120018005371e+00,1.010977149009704590e+00,9.734501242637634277e-01,1.022337913513183594e+00,9.885265827178955078e-01,9.636657238006591797e-01,9.477890729904174805e-01,9.588631987571716309e-01,9.941110014915466309e-01
11,9.565408229827880859e-01,8.981368541717529297e-01,9.216666221618652344e-01,1.011471152305603027e+00,9.246956110000610352e-01,1.057017087936401367e+00,1.045269250869750977e+00,6.912830471992492676e-01,6.838393211364746094e-01,6.675737500190734863e-01,7.286665439605712891e-01,4.941071569919586182e-01,6.631214022636413574e-01,6.054583787918090820e-01,6.426129937171936035e-01,1.016439080238342285e+00,9.930492639541625977e-01,9.757144451141357422e-01,9.699354767799377441e-01,9.342286586761474609e-01,9.812772274017333984e-01,9.034369587898254395e-01,9.948894381523132324e-01,9.699376821517944336e-01,9.682555198669433594e-01,9.808294177055358887e-01,1.011403203010559082e+00,9.860043525695800781e-01,1.001933693885803223e+00,9.761490821838378906e-01,9.529781937599182129e-01,9.537266492843627930e-01,1.027848124504089355e+00,1.013727188110351562e+00,9.958605170249938965e-01,9.800605177879333496e-01,9.820054173469543457e-01,9.701893329620361328e-01
12,9.592505097389221191e-01,8.692703247070312500e-01,9.234672784805297852e-01,1.001143932342529297e+00,9.358844161033630371e-01,1.033514499664306641e+00,1.009361386299133301e+00,7.041316628456115723e-01,7.801229953765869141e-01,6.121092438697814941e-01,7.290675640106201172e-01,6.631214022636413574e-01,5.165525674819946289e-01,6.319490075111389160e-01,6.020610332489013672e-01,1.000560283660888672e+00,9.989001750946044922e-01,9.574728608131408691e-01,9.341601729393005371e-01,9.535724520683288574e-01,9.615122079849243164e-01,9.156549572944641113e-01,9.900553226470947266e-01,9.719280004501342773e-01,9.915148019790649414e-01,1.000442981719970703e+00,1.025257229804992676e+00,9.906457662582397461e-01,1.045431137084960938e+00,9.740965366363525391e-01,9.634805321693420410e-01,9.328524470329284668e-01,1.052883148193359375e+00,1.030389904975891113e+00,1.038416743278503418e+00,1.000947594642639160e+00,1.004915595054626465e+00,1.002766728401184082e+00
13,1.023141860961914062e+00,8.989293575286865234e-01,9.598293304443359375e-01,1.032962203025817871e+00,9.842625260353088379e-01,1.057290196418762207e+00,1.045765161514282227e+00,6.423480510711669922e-01,7.256243228912353516e-01,5.903757810592651367e-01,7.074567675590515137e-01,6.054583787918090820e-01,6.319490075111389160e-01,4.925912022590637207e-01,5.807509422302246094e-01,1.013719081878662109e+00,9.856201410293579102e-01,1.004906654357910156e+00,9.639297723770141602e-01,9.492340087890625000e-01,9.747627973556518555e-01,9.393947720527648926e-01,9.840348958969116211e-01,9.706242084503173828e-01,9.690329432487487793e-01,9.478437900543212891e-01,1.004421710968017578e+00,9.729905128479003906e-01,1.017806887626647949e+00,9.598723649978637695e-01,9.728307127952575684e-01,9.337469935417175293e-01,1.007070779800415039e+00,1.002614855766296387e+00,9.574108719825744629e-01,9.465610384941101074e-01,9.679229855537414551e-01,9.600088596343994141e-01
14,1.004367709159851074e+00,8.917499184608459473e-01,9.356431961059570312e-01,9.803808927536010742e-01,9.671912789344787598e-01,1.027564764022827148e+00,1.016860008239746094e+00,6.294752359390258789e-01,7.097551822662353516e-01,5.700411200523376465e-01,6.884239315986633301e-01,6.426129937171936035e-01,6.020610332489013672e-01,5.807509422302246094e-01,5.425739288330078125e-01,1.009065389633178711e+00,1.002308726310729980e+00,9.890694618225097656e-01,9.796633720397949219e-01,9.749737977981567383e-01,9.783325195312500000e-01,9.357320070266723633e-01,9.940487742424011230e-01,9.846283793449401855e-01,9.869736433029174805e-01,9.902405142784118652e-01,1.007217884063720703e+00,1.000665307044982910e+00,1.052437305450439453e+00,9.852945804595947266e-01,9.719324707984924316e-01,9.343526363372802734e-01,1.027012467384338379e+00,1.000381708145141602e+00,9.851773977279663086e-01,9.922738075256347656e-01,9.607859253883361816e-01,1.026622414588928223e+00
15,1.009205937385559082e+00,9.645091891288757324e-01,9.896277785301208496e-01,1.050961971282958984e+00,1.066216707229614258e+00,1.115684390068054199e+00,1.065111041069030762e+00,1.010251045227050781e+00,9.913374185562133789e-01,1.035621523857116699e+00,1.054295778274536133e+00,1.016439080238342285e+00,1.000560283660888672e+00,1.013719081878662109e+00,1.009065389633178711e+00,3.440554141998291016e-01,4.105876684188842773e-01,1.098947882652282715e+00,1.053779125213623047e+00,1.058341860771179199e+00,1.063114285469055176e+00,1.082513809204101562e+00,1.060873508453369141e+00,1.019085884094238281e+00,1.052582383155822754e+00,1.055199980735778809e+00,1.026142239570617676e+00,1.044742107391357422e+00,1.076429843902587891e+00,9.988567829132080078e-01,1.031302094459533691e+00,1.032088875770568848e+00,9.274211525917053223e-01,9.947646856307983398e-01,1.031901478767395020e+00,1.019369244575500488e+00,1.008567452430725098e+00,1.111844062805175781e+00
16,1.032351732254028320e+00,9.808202385902404785e-01,1.005981087684631348e+00,1.095418572425842285e+00,1.075798869132995605e+00,1.135712742805480957e+00,1.082393884658813477e+00,1.006293177604675293e+00,9.861716628074645996e-01,1.013066649436950684e+00,1.031927704811096191e+00,9.930492639541625977e-01,9.989001750946044922e-01,9.856201410293579102e-01,1.002308726310729980e+00,4.105876684188842773e-01,3.331050276756286621e-01,1.114836931228637695e+00,1.087659120559692383e+00,1.088604927062988281e+00,1.091863512992858887e+00,1.089886188507080078e+00,1.061956524848937988e+00,1.002350091934204102e+00,1.038361191749572754e+00,1.034265041351318359e+00,1.008919358253479004e+00,1.027674674987792969e+00,1.041294336318969727e+00,9.743757247924804688e-01,1.008738279342651367e+00,1.026407361030578613e+00,9.279889464378356934e-01,1.005845427513122559e+00,1.021300315856933594e+00,1.001162886619567871e+00,1.020764589309692383e+00,1.091339468955993652e+00
17,9.199867248535156250e-01,1.023337125778198242e+00,9.606091976165771484e-01,9.372461438179016113e-01,9.018924236297607422e-01,8.951319456100463867e-01,9.385389685630798340e-01,9.670231342315673828e-01,9.928703308105468750e-01,9.909185171127319336e-01,9.896533489227294922e-01,9.757144451141357422e-01,9.574728608131408691e-01,1.004906654357910156e+00,9.890694618225097656e-01,1.098947882652282715e+00,1.114836931228637695e+00,4.535148739814758301e-01,6.597846746444702148e-01,6.870239377021789551e-01,7.635530233383178711e-01,7.673172950744628906e-01,8.527193665504455566e-01,8.405889868736267090e-01,8.138030171394348145e-01,9.243110418319702148e-01,7.915101647377014160e-01,8.956969976425170898e-01,8.596978783607482910e-01,9.278761744499206543e-01,8.815418481826782227e-01,8.686236143112182617e-01,1.036403536796569824e+00,1.000015139579772949e+00,1.033668756484985352e+00,9.627382159233093262e-01,9.882970452308654785e-01,9.549294114112854004e-01
18,9.515699148178100586e-01,9.845510721206665039e-01,9.143235087394714355e-01,9.503212571144104004e-01,8.815947175025939941e-01,9.730153679847717285e-01,9.793472290039062500e-01,9.378657341003417969e-01,9.486656188964843750e-01,9.505618214607238770e-01,9.680876731872558594e-01,9.699354767799377441e-01,9.341601729393005371e-01,9.639297723770141602e-01,9.796633720397949219e-01,1.053779125213623047e+00,1.087659120559692383e+00,6.597846746444702148e-01,5.042033195495605469e-01,6.162303686141967773e-01,6.512243747711181641e-01,7.333889007568359375e-01,7.678062915802001953e-01,7.651135921478271484e-01,8.435492515563964844e-01,8.382409214973449707e-01,8.595374226570129395e-01,7.806177735328674316e-01,8.712432980537414551e-01,8.704555630683898926e-01,8.516579270362854004e-01,8.126475811004638672e-01,1.015696525573730469e+00,9.788791537284851074e-01,1.029312014579772949e+00,9.487042427062988281e-01,9.916704893112182617e-01,8.506559133529663086e-01
19,9.274799227714538574e-01,9.733541011810302734e-01,9.371269345283508301e-01,9.729249477386474609e-01,9.083440899848937988e-01,9.625328779220581055e-01,9.778725504875183105e-01,9.379706382751464844e-01,9.618666172027587891e-01,9.449512958526611328e-01,9.735938310623168945e-01,9.342286586761474609e-01,9.535724520683288574e-01,9.492340087890625000e-01,9.749737977981567383e-01,1.058341860771179199e+00,1.088604927062988281e+00,6.870239377021789551e-01,6.162303686141967773e-01,5.625526905059814453e-01,6.735917925834655762e-01,7.100026011466979980e-01,8.097036480903625488e-01,7.730022668838500977e-01,8.405551314353942871e-01,8.029441237449645996e-01,8.647519946098327637e-01,7.856033444404602051e-01,8.234924077987670898e-01,8.305726647377014160e-01,8.494782447814941406e-01,8.378467559814453125e-01,1.004994153976440430e+00,9.796714782714843750e-01,1.000572323799133301e+00,9.301508069038391113e-01,9.758837223052978516e-01,8.644137382507324219e-01
